X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
69.0091092539945,39.9066257808696,"6869930887",node,9.375,pharmacy,,Истаравшан,,,,,,,,,,,,,,,,,,,,,,,,75560331,1,2019/10/11 11:37:01+00,4e7f6f6bba5c4253b15be1ec6d09e73f
,,"1375938323",way,9.375,hospital,,,,survey,,,,,,,,,,,,,,,,,,,,,,164694707,1,2025/04/08 19:13:57+00,67edb6b03c5a4f598bb80b05effed54a
68.7583164246155,38.5812101841914,"4791126822",node,15.625,hospital,hospital,Неврологическое отделение #1,,,neurology,,,,,,,,,,,,,,,,,,,,,67151074,2,2019/02/13 04:30:11+00,737bed2d837b4a5f90b193610bcfbd4a
71.8770203401566,38.0611047941907,"3948182178",node,9.375,doctors,,Codan,,,,,,,,,,,,,,,,,,,,,,,,36595133,1,2016/01/15 15:15:22+00,0843bc834a4747a3bc948e1e82c23f5e
,,"884716193",way,12.5,hospital,hospital,Глазная больница г. Бохтар,,,,,,,,,,,,,,,,,,,,,,,,95808207,1,2020/12/14 13:08:17+00,b81f336acb6b48e28511bb1d89b0a9e8
68.7998792649679,38.5603636366276,"6548981784",node,15.625,hospital,hospital,"Stomotology and X-ray,",,,,,,,,,,,,,,,,,,,,,,,Душанбе,71275270,1,2019/06/15 09:30:50+00,1a53bc5b872d422cb6ac0fe54f956337
,,"272518454",way,12.5,pharmacy,pharmacy,Дорухона,,,,,,,,,,,,,,,,,,,,,,,,74766623,5,2019/09/22 08:42:19+00,b421f3561bbd479fb89623cea7f21541
68.7851622355568,37.8381695552851,"6956580255",node,9.375,dentist,dentist,,,,,,,,,,,,,,,,,,,,,,,,,84750135,2,2020/05/06 09:45:17+00,b6b79d890ba243a19c8dec863dc79367
,,"391546439",way,6.25,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,36589617,1,2016/01/15 11:10:42+00,e05171e19daf4dc881aed55d17a3b0b8
69.6913743793703,40.2309154958636,"6805481490",node,25,hospital,hospital,Беморхона,,,,,,,,,,,,,,,,,,,,Беморхона,кучаи Патриса Лумумбы,"735730",Бустон,74766623,2,2019/09/22 08:42:19+00,d2c24437eaea48a49ac2ac9de8655800
68.7624923725956,38.5511154637611,"9766025999",node,12.5,dentist,dentist,Stomatologiya,,,,,,,,,,,,,,,,,,,,,,,,121400509,1,2022/05/24 05:31:18+00,8aece6f95df54bbb81119aaeb6672ef4
68.7817409941384,38.5707708590649,"1249573181",node,9.375,hospital,,Беморхонаи клиникии сироятии кудакона,,,,,,,,,,,,,,,,,,,,,,,,134303456,2,2023/03/30 12:45:45+00,d59477d2a3f546a5ab606f71604bbb96
67.8029608472196,39.2787972609303,"9037998809",node,9.375,hospital,,,,,,,,,,,,,,,no,,,,,,,,,,,110288491,1,2021/08/26 13:16:03+00,917ca4486cf14495b652b1aa0895d6cc
72.3983182235218,38.2963621851327,"3947203895",node,9.375,doctors,,Doctors Surgery,,,,,,,,,,,,,,,,,,,,,,,,116821134,3,2022/01/31 12:19:39+00,e30ba6cef48b4fd7bcd0774ca0551026
,,"26327257",way,21.875,hospital,,,,,,,,,,,,,,,yes,,,,,,,"39",Кӯчаи 20-солагии Истиқлолият,"735400",Ваҳдат,78516633,14,2019/12/17 09:06:48+00,f4edf1a1cdc744e283cf0e9392e7327a
71.8107963481062,38.5781776954423,"3956400502",node,6.25,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,36697067,1,2016/01/20 10:17:32+00,f8d25e709343400687ea29dcc432c9c8
,,"378441503",way,9.375,doctors,,First Aid Post,,,,,,,,,,,,,,,,,,,,,,,,36640790,2,2016/01/17 19:46:15+00,28a6457152214fb2a44477e30acc0547
,,"1034789723",way,9.375,pharmacy,,Дусти ФАРМ,,,,,,,,,,,,,,,,,,,,,,,,117853082,2,2022/02/25 15:17:33+00,4cac1c0d000445f1a9672e0509b55885
68.6447187540188,37.8021693649738,"8110396033",node,9.375,clinic,clinic,,,,,,,,,,,,,,,,,,,,,,,,,93969613,1,2020/11/12 06:04:38+00,9f652ed8effa473bb15901a5ee2b42d9
,,"459883488",way,6.25,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,44431884,1,2016/12/15 20:11:47+00,7daecbe9b8a84a6783a2c3cf5d91ec90
69.783253281559,37.9180692929153,"11572315152",node,12.5,clinic,clinic,Маркази саломатии шаҳрӣ,,,,,,,,,,,,,,,,,,,,,,,,146896045,1,2024/01/31 09:37:53+00,45bcce289c3648e987f07eac9bab1273
68.7857278463829,38.5658286374967,"1240517295",node,9.375,hospital,,Таваллудхонаи № 2,,,,,,,,,,,,,,,,,,,,,,,,47224852,4,2017/03/28 10:05:23+00,bf708283de504d159d8761954fcc2500
,,"1253694977",way,12.5,hospital,hospital,Беморхонаи чашм,,,,,,,,,,,,,,,,,,,,,,,,147785155,1,2024/02/22 18:45:53+00,8f533661dfc64f9f933654e9ae440328
71.5577447634601,37.945212158505,"3468943436",node,6.25,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,30368537,1,2015/04/21 05:13:05+00,9dbb63dd137e4cfaa07f5b00ad746abf
70.7903630877379,38.4528239865494,"6779099981",node,9.375,pharmacy,,Дорухона,,,,,,,,,,,,,,,,,,,,,,,,74202654,1,2019/09/07 10:39:28+00,840a923dc5b54e4b9172d42a1e79f7cf
69.3171230732251,38.3897938348843,"12396877505",node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,159936759,1,2024/12/04 23:25:19+00,cc8f9507ee92490abad9e5d4e378697e
,,"27991429",way,21.875,clinic,,Маркази занон,,,,,,,,,,,,,,,,,,,,"28",Кӯчаи 20-солагии Истиқлолият,"735400",Ваҳдат,78516633,10,2019/12/17 09:06:48+00,20c0efa7e07d48409e2c3cd99239732a
68.5511994295599,38.5274064962635,"4343999390",node,12.5,clinic,,Policlinic,,,,,,Mo-Sa 08:00-04:00,,,,,,,,,,,,,,,,,,41361244,1,2016/08/10 07:33:35+00,b5fb5fd5850f459dad9ad6e9ad1bc95d
,,"392270040",way,9.375,doctors,,Doctor's Surgery,,,,,,,,,,,,,,,,,,,,,,,,72377490,2,2019/07/18 08:12:44+00,ddd0da149f8846b5b41a46c6a9d1cfa0
68.7400434566021,38.5886528951143,"9768712175",node,15.625,pharmacy,pharmacy,Дорухона,,,,,,,,,,,yes,,,,,,,,,,,,,121455490,1,2022/05/25 05:35:43+00,0af1352dda554a51980ba716ca1ab3eb
