name,name:en,amenity,building,operator:type,capacity:persons,addr:full,addr:city,source,name:tg,osm_id,osm_type,healthcare_distance_risk,healthcare_capacity_risk,road_condition_risk,infrastructure_age_risk,environmental_risk,nearest_overall_dist,nearest_facility_type,nearest_facility_name,facilities_within_5km,facilities_within_10km,emergency_access_score,composite_risk_score,risk_category,priority_rank,ccri_supplement_ready,analysis_date,country,facility_access_group
Лицей 1 Фархорского района,Litse 1,school,,,,,,,,4979990621,nodes,0.01215409012302792,0.9838709677419355,0.9195928830795518,0.585,0.44089444032166275,0.0101268921555485,hospital,Ибни Сино,3.0,3.0,0.79746215688903,0.5407210678774179,Medium-High Risk,76.0,True,2025-06-17T13:08:11.477365,Tajikistan,2-3
Муассисаи Таҳсилоти миенаи умуми №15,Public school #15,school,yes,,,,,,,9256224105,nodes,0.002139349402458187,0.989247311827957,0.7111479007406948,0.6028571428571429,0.14379964197492265,0.002036113498805647,hospital,,2.0,2.0,0.959277730023887,0.474003763368943,Medium-Low Risk,121.0,True,2025-06-17T13:08:11.477365,Tajikistan,2-3
,,school,,,,,,,,11374172228,nodes,0.012839726384059214,0.9946236559139785,0.9683244690919447,0.6866666666666668,0.3929454485532375,0.010680808765256332,hospital,,1.0,1.0,0.7863838246948733,0.5681470251178644,Medium-High Risk,51.0,True,2025-06-17T13:08:11.477365,Tajikistan,0-1
,,school,,,,,,,,11367223117,nodes,0.032074284527492954,0.9838709677419355,0.9683244690919447,0.6866666666666668,0.44892822980264024,0.01573209473687894,doctors,,2.0,3.0,0.6853581052624212,0.5755277218961279,Medium-High Risk,38.0,True,2025-06-17T13:08:11.477365,Tajikistan,2-3
Школа №51 Ободи,,school,,,,,,,,6165552388,nodes,0.2970934785094179,1.0,0.7909414960068343,0.61,0.4444833445054838,0.24032571470587555,hospital,Морг,0.0,0.0,0.0,0.6154422587052791,Medium-High Risk,13.0,True,2025-06-17T13:08:11.477365,Tajikistan,
Школа №5 Ба номи (Мастибек Паллаев),,school,,,,,,,,3792917120,nodes,0.005581099316824169,0.06451612903225812,0.9195928830795518,0.6849999999999999,0.4366926102424624,0.0019266633800358738,pharmacy,Дорухона,53.0,174.0,0.9614667323992825,0.3693394618493512,Medium-Low Risk,169.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
Школа №1 Имени Борона Назурова,,school,,,,,,,,4713820717,nodes,0.004184506365755205,0.043010752688172005,0.8951651109277884,0.72348045354429,0.5443516515027937,0.0036883691856998747,hospital,Госпитали ҳарбӣ,63.0,178.0,0.9262326162860025,0.369597656104379,Medium-Low Risk,168.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
Мактаби №96,School №96,school,,,,,,,,4690421113,nodes,0.2705996079761374,1.0,0.018381374253467225,0.37790945960885897,0.11427988189805709,0.13135299695877029,doctors,Doctor's Surgery,0.0,0.0,0.0,0.3617056193912467,Medium-Low Risk,172.0,True,2025-06-17T13:08:11.477365,Tajikistan,
Мактаби №89,School №89,school,,,,,,,,4751843887,nodes,0.007024649100488701,0.7096774193548387,0.0296290444580683,0.37852304087402733,0.11795715682338777,0.0023931534113006796,pharmacy,Аптека,50.0,54.0,0.9521369317739864,0.21447768614292936,Low Risk,230.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
"Маркази омӯзиши забонҳо ва компютерии ""ШАФАҚ""","Center for Language Studies and the computer ""Shafak""",school,,,,,,,,2418059642,nodes,0.012740619252578807,0.935483870967742,0.0442608628820334,0.34614079859072966,0.11321313941928755,0.004240296561562043,pharmacy,Дорухона,11.0,12.0,0.9151940687687592,0.2602029834120332,Medium-Low Risk,222.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
,,school,,,,,,,,3986092717,nodes,0.0025801882250265926,0.935483870967742,0.8695603683103176,0.72,0.2022295460351294,0.0023922614447404065,hospital,Морг,12.0,12.0,0.9521547711051919,0.5235014094516436,Medium-High Risk,90.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
Мактаби №5,,school,,,,,,,,11342103835,nodes,0.0075314047183135955,0.935483870967742,0.7060114787596107,0.5769491525423728,0.3899576769599731,0.0063922847949725555,hospital,Беморхонаи марказӣ,11.0,12.0,0.8721543041005488,0.4722758922642154,Medium-Low Risk,123.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
Мактаби №2 ба номи В.И. Ленин,,school,,,,,Ваҳдат,,,976901833,nodes,0.08311110003193801,0.956989247311828,0.3733056758114979,0.5293197910962786,0.1389436054810033,0.06745213674606854,hospital,Беморхонаи бемориҳои сироятӣ,0.0,8.0,0.0,0.4001583023649103,Medium-Low Risk,152.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
Мактаби №3 ба номи В. Терешкова,,school,,,,,Ваҳдат,,,3020201779,nodes,0.05818930472108932,0.956989247311828,0.3634279859348519,0.5288486773237853,0.13343985359070576,0.047318142745147694,hospital,Беморхонаи бемориҳои сироятӣ,5.0,8.0,0.0536371450970462,0.3886203968765629,Medium-Low Risk,156.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
Гимназияи ба номи Абулфазли Балъамӣ,,school,,,,,Ваҳдат,,,4394521926,nodes,0.013981504240889108,0.9946236559139785,0.3539822149939298,0.42632706588545527,0.12600325937971774,0.011603236232180843,hospital,,1.0,1.0,0.7679352753563832,0.3625630342673935,Medium-Low Risk,171.0,True,2025-06-17T13:08:11.477365,Tajikistan,0-1
,Oftobliqo School,school,,,,,,,,12584979717,nodes,0.009175322848389835,0.016129032258064502,0.8451418488939514,0.5969230769230769,0.37266890962143556,0.007720384851815245,hospital,Госпитали ҳарбӣ,64.0,183.0,0.8455923029636951,0.3258945386915705,Medium-Low Risk,184.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
,Bahoriston School,school,,,,,,,,12584979720,nodes,0.006062509125133279,0.010752688172043001,0.8451418488939514,0.5969230769230769,0.3684749358753551,0.003123349900351949,doctors,Поликлиника,96.0,184.0,0.9375330019929611,0.3235200863839224,Medium-Low Risk,185.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
,,school,,,,,,,,9037998808,nodes,0.01010023017445594,0.026881720430107503,0.9683244690919447,0.6866666666666668,0.3721100828531001,0.008467605440145666,hospital,Беморхонаи маркази №2,90.0,181.0,0.8306478911970867,0.37259804606272223,Medium-Low Risk,165.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
,,school,,,,,,,,9094367598,nodes,0.0077821268288063026,0.026881720430107503,0.9683244690919447,0.6866666666666668,0.3932300867281551,0.0026379359696605716,pharmacy,Дорухона,87.0,181.0,0.9472412806067886,0.37284271008549763,Medium-Low Risk,164.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
,,school,,,,,,,,6710486075,nodes,0.06416894757760162,0.9946236559139785,0.9683244690919447,0.6866666666666668,0.41438880108457127,0.02085960734649017,pharmacy,Панчфарм,1.0,1.0,0.5828078530701967,0.587184420162171,Medium-High Risk,26.0,True,2025-06-17T13:08:11.477365,Tajikistan,0-1
Мактаби миенаи дехоти Шинг №11,Public School #11,school,,,,,,,Mактаби миёнаи деҳаи Шинг раками 11,9038008233,nodes,0.0038110566596411136,0.010752688172043001,0.9683244690919447,0.7266666666666667,0.370248501277401,0.0013546656118721319,pharmacy,Сифат Фарм,133.0,184.0,0.9729066877625574,0.37307794980213926,Medium-Low Risk,163.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
,TBEA Tajik Chinese School,school,,,,,,,,6307814385,nodes,0.0036054737558893256,0.010752688172043001,0.039877635220142316,0.3406336241312834,0.1254560568312712,0.0012882305112029832,pharmacy,Сифат Фарм,133.0,184.0,0.9742353897759404,0.07074970871526151,Low Risk,246.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
iCenter,iCenter,school,,,,,,,,4851213723,nodes,0.006525971461791257,0.05913978494623651,0.05126142694934682,0.3422724356884472,0.12166815350363057,0.002232003342283669,pharmacy,Аптека,59.0,175.0,0.9553599331543267,0.08435167676665956,Low Risk,241.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
,,school,,,,,,,Мактаби № 73,8208530225,nodes,0.007166126934532702,0.05913978494623651,0.06012659320155406,0.3456622366768591,0.13801829099841795,0.0024388726514497265,pharmacy,Аптека,59.0,175.0,0.9512225469710055,0.08811799976817203,Low Risk,239.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
British school,,school,,,,,,,,9768712149,nodes,0.006484873222880005,0.005376344086021501,0.013698190462902465,0.37350359040774345,0.11580797256242144,0.0022187222494030553,pharmacy,Самсон Фарма,125.0,185.0,0.9556255550119389,0.0685854592502205,Low Risk,248.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
школа 19,мактаби 19,school,,,,,,,,5321474121,nodes,0.0044170381904184595,0.005376344086021501,0.9934302580795608,0.7562289549796142,0.3259163237348493,0.0015504914479029539,pharmacy,,136.0,185.0,0.968990171041941,0.38070895613742556,Medium-Low Risk,159.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
,,school,,,,,,,,5645336821,nodes,0.005459747629506351,0.005376344086021501,1.0,0.72,0.3353616131077867,0.0047186200016559555,hospital,Таваллудхонаи №1,136.0,185.0,0.9056275999668809,0.3777542611429208,Medium-Low Risk,161.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
